Comuna,n
Alhué,1
Buin,3
Calera de Tango,2
Cerrillos,13
Cerro Navia,1
Colina,6
Conchalí,17
Curacaví,1
El Bosque,8
El Monte,1
Estación Central,4
Huechuraba,14
Independencia,8
Isla de Maipo,1
La Cisterna,6
La Florida,54
La Granja,11
La Pintana,4
La Reina,24
Lampa,1
Las Condes,97
Lo Barnechea,18
Lo Espejo,3
Lo Prado,4
Macul,17
Maipú,54
María Pinto,1
Melipilla,1
Ñuñoa,37
Padre Hurtado,2
Paine,1
Pedro Aguirre Cerda,5
Peñaflor,8
Peñalolén,25
Pirque,13
Providencia,49
Pudahuel,8
Puente Alto,24
Quilicura,18
Quinta Normal,4
Recoleta,8
Renca,5
San Bernardo,16
San Joaquín,2
San José de Maipo,1
San Miguel,14
San Pedro,1
San Ramón,4
Santiago,112
Talagante,2
Tiltil,1
Vitacura,32
